City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2021-09-23 04:41:18,-33.0153,27.9116,59.94,77,0,10.36
1,Vaini,TO,2021-09-23 04:43:28,-21.2,-175.2,77.16,83,20,9.22
2,Sao Filipe,CV,2021-09-23 04:44:11,14.8961,-24.4956,78.53,78,37,8.99
3,Aswan,EG,2021-09-23 04:44:12,24.0934,32.907,83.5,26,0,6.91
4,Port Alfred,ZA,2021-09-23 04:44:13,-33.5906,26.891,64.72,57,78,12.48
5,Kruisfontein,ZA,2021-09-23 04:43:06,-34.0033,24.7314,62.08,44,33,10.51
6,Chokurdakh,RU,2021-09-23 04:43:15,70.6333,147.9167,34.86,58,100,2.93
7,Kirkenaer,NO,2021-09-23 04:44:14,60.4564,12.0582,55.04,83,85,6.58
8,Rikitea,PF,2021-09-23 04:41:32,-23.1203,-134.9692,74.39,74,10,21.61
9,Upernavik,GL,2021-09-23 04:44:04,72.7868,-56.1549,21.9,80,97,5.73
10,Punta Arenas,CL,2021-09-23 04:44:04,-53.15,-70.9167,37.51,81,0,8.05
11,Ushuaia,AR,2021-09-23 04:41:35,-54.8,-68.3,38.86,87,20,3.44
12,Matadi,CD,2021-09-23 04:44:18,-5.8167,13.45,75.04,79,82,7.23
13,Hermanus,ZA,2021-09-23 04:43:02,-34.4187,19.2345,60.73,52,44,8.99
14,Provideniya,RU,2021-09-23 04:44:19,64.3833,-173.3,33.91,60,40,6.71
15,Tasiilaq,GL,2021-09-23 04:44:20,65.6145,-37.6368,32.16,65,59,6.64
16,Port Elizabeth,ZA,2021-09-23 04:39:02,-33.918,25.5701,55.69,94,0,6.91
17,Pisco,PE,2021-09-23 04:43:20,-13.7,-76.2167,60.85,82,90,13.8
18,Batavia,US,2021-09-23 04:41:25,41.85,-88.3126,58.91,64,1,3.0
19,Albany,US,2021-09-23 04:43:19,42.6001,-73.9662,72.81,86,85,1.01
20,Haines Junction,CA,2021-09-23 04:43:47,60.7522,-137.5108,31.95,86,99,1.14
21,Bilibino,RU,2021-09-23 04:44:21,68.0546,166.4372,29.46,82,100,3.53
22,Bredasdorp,ZA,2021-09-23 04:41:19,-34.5322,20.0403,47.52,87,52,6.91
23,Newport,GB,2021-09-23 04:41:55,51.5877,-2.9984,61.34,88,80,8.5
24,Mount Gambier,AU,2021-09-23 04:44:23,-37.8333,140.7667,60.71,63,90,19.57
25,La Carlota,PH,2021-09-23 04:44:24,10.4233,122.9208,85.05,72,93,4.43
26,Mahebourg,MU,2021-09-23 04:43:36,-20.4081,57.7,72.25,73,75,11.5
27,Cabo San Lucas,MX,2021-09-23 04:40:03,22.8909,-109.9124,85.51,78,63,8.79
28,Muli,MV,2021-09-23 04:44:25,2.9167,73.5667,83.46,75,95,13.91
29,Toora-Khem,RU,2021-09-23 04:44:26,52.4675,96.11,48.94,40,99,1.05
30,Port-Gentil,GA,2021-09-23 04:43:38,-0.7193,8.7815,78.42,82,100,7.25
31,Evensk,RU,2021-09-23 04:44:27,61.95,159.2333,48.6,77,79,6.33
32,Revelstoke,CA,2021-09-23 04:44:28,50.9832,-118.2023,50.02,100,90,2.3
33,Victoria,HK,2021-09-23 04:43:29,22.2855,114.1577,86.05,85,88,1.99
34,Esperance,AU,2021-09-23 04:44:28,-33.8667,121.9,62.44,71,14,14.67
35,Soe,ID,2021-09-23 04:44:29,-9.8607,124.284,83.41,32,57,11.79
36,Maumere,ID,2021-09-23 04:44:30,-8.6199,122.2111,84.79,58,87,4.65
37,Krasnokamensk,RU,2021-09-23 04:44:31,50.0979,118.0369,63.84,52,90,17.22
38,Muros,ES,2021-09-23 04:44:32,42.7762,-9.0603,62.83,74,2,14.38
39,Tiksi,RU,2021-09-23 04:44:33,71.6872,128.8694,42.69,66,100,3.31
40,Kumluca,TR,2021-09-23 04:44:34,36.3703,30.2869,76.66,35,0,4.03
41,Busselton,AU,2021-09-23 04:43:21,-33.65,115.3333,63.09,66,50,15.3
42,Soto La Marina,MX,2021-09-23 04:44:35,23.7667,-98.2167,71.65,70,49,5.06
43,Severo-Kurilsk,RU,2021-09-23 04:44:36,50.6789,156.125,47.68,96,100,19.57
44,Kapaa,US,2021-09-23 04:41:24,22.0752,-159.319,82.38,69,1,3.0
45,Arraial Do Cabo,BR,2021-09-23 04:44:38,-22.9661,-42.0278,65.8,68,96,11.16
46,Chara,RU,2021-09-23 04:44:38,56.9064,118.2631,39.2,98,100,3.24
47,Kompaniyivka,UA,2021-09-23 04:42:33,48.2511,32.208,44.4,85,100,8.77
48,Pelym,RU,2021-09-23 04:44:41,61.0108,61.9978,45.18,69,18,4.97
49,Jamestown,US,2021-09-23 04:44:41,42.097,-79.2353,64.51,69,90,5.99
50,Lata,PT,2021-09-23 04:44:42,40.1629,-8.3327,63.05,88,100,4.72
51,Castro,BR,2021-09-23 04:44:43,-24.7911,-50.0119,46.36,93,97,10.33
52,Saint-Philippe,RE,2021-09-23 04:44:43,-21.3585,55.7679,75.22,79,61,12.01
53,Butaritari,KI,2021-09-23 04:41:34,3.0707,172.7902,83.05,68,44,13.09
54,Halifax,CA,2021-09-23 04:42:24,44.6453,-63.5724,63.21,91,63,4.61
55,Kloulklubed,PW,2021-09-23 04:44:44,7.0419,134.2556,77.5,76,80,10.25
56,Kangaatsiaq,GL,2021-09-23 04:44:46,68.3065,-53.4641,27.97,71,40,5.28
57,Puerto Ayora,EC,2021-09-23 04:41:28,-0.7393,-90.3518,69.19,90,92,9.01
58,Adrar,MR,2021-09-23 04:44:48,20.5022,-10.0711,83.23,22,45,10.45
59,Magburaka,SL,2021-09-23 04:44:48,8.7167,-11.95,72.81,99,100,1.12
60,Saint-Louis,SN,2021-09-23 04:44:49,16.3333,-15.0,81.39,64,83,12.21
61,Ribeira Grande,PT,2021-09-23 04:44:50,38.5167,-28.7,70.79,72,13,10.02
62,Bluff,NZ,2021-09-23 04:41:41,-46.6,168.3333,57.79,77,94,14.0
63,Cap Malheureux,MU,2021-09-23 04:44:50,-19.9842,57.6142,73.47,72,10,5.01
64,Cooma,AU,2021-09-23 04:44:51,-36.2333,149.1333,65.97,32,0,20.71
65,Saldanha,ZA,2021-09-23 04:44:51,-33.0117,17.9442,56.61,88,15,7.25
66,Whitianga,NZ,2021-09-23 04:44:52,-36.8333,175.7,58.01,94,100,9.95
67,Pemangkat,ID,2021-09-23 04:44:52,1.1667,108.9667,85.73,65,73,4.0
68,Kavieng,PG,2021-09-23 04:44:53,-2.5744,150.7967,82.13,76,100,7.63
69,Hithadhoo,MV,2021-09-23 04:41:24,-0.6,73.0833,84.15,72,95,13.73
70,Inhambane,MZ,2021-09-23 04:44:53,-23.865,35.3833,66.18,88,40,6.91
71,Uyuni,BO,2021-09-23 04:44:54,-20.4597,-66.825,47.93,25,97,8.9
72,Hilo,US,2021-09-23 04:41:24,19.7297,-155.09,78.53,78,40,5.75
73,Tuktoyaktuk,CA,2021-09-23 04:44:55,69.4541,-133.0374,35.6,64,90,6.91
74,Fershampenuaz,RU,2021-09-23 04:44:57,53.5202,59.8117,45.86,61,9,6.02
75,New Norfolk,AU,2021-09-23 04:43:33,-42.7826,147.0587,56.7,56,93,7.0
76,Goedereede,NL,2021-09-23 04:40:36,51.8175,3.9806,58.98,92,44,15.55
77,Khandyga,RU,2021-09-23 04:45:00,62.6667,135.6,53.8,49,45,1.05
78,Mar Del Plata,AR,2021-09-23 04:42:24,-38.0023,-57.5575,51.82,93,90,4.61
79,Barrow,US,2021-09-23 04:40:01,71.2906,-156.7887,30.22,69,90,16.11
80,Kutum,SD,2021-09-23 04:45:02,14.2,24.6667,77.7,56,75,6.46
81,Iqaluit,CA,2021-09-23 04:45:03,63.7506,-68.5145,33.53,75,90,6.91
82,Opuwo,NA,2021-09-23 04:45:03,-18.0607,13.84,69.35,22,57,3.96
83,Turukhansk,RU,2021-09-23 04:45:04,65.8167,87.9833,33.4,100,100,5.26
84,Dosso,NE,2021-09-23 04:45:05,13.049,3.1937,75.36,83,100,7.05
85,Sigli,ID,2021-09-23 04:45:07,5.3848,95.9609,86.04,62,97,5.99
86,Saskylakh,RU,2021-09-23 04:41:34,71.9167,114.0833,34.65,100,100,6.4
87,High Level,CA,2021-09-23 04:45:09,58.5169,-117.136,44.71,81,90,9.22
88,Ca Mau,VN,2021-09-23 04:45:09,9.1769,105.15,90.21,53,96,9.01
89,Sergeyevka,KZ,2021-09-23 04:41:17,53.88,67.4158,44.58,64,63,7.67
90,Huarmey,PE,2021-09-23 04:45:10,-10.0681,-78.1522,63.21,86,95,8.86
91,Maragogi,BR,2021-09-23 04:45:11,-9.0122,-35.2225,75.63,89,22,6.82
92,Mataura,NZ,2021-09-23 04:43:18,-46.1927,168.8643,57.47,63,97,3.29
93,Kingman,US,2021-09-23 04:45:12,35.1894,-114.053,80.29,14,1,3.0
94,Chadan,RU,2021-09-23 04:45:13,51.2833,91.5833,48.56,39,71,3.8
95,Mount Isa,AU,2021-09-23 04:45:14,-20.7333,139.5,83.97,10,0,6.91
96,Ponta Do Sol,PT,2021-09-23 04:43:12,32.6667,-17.1,72.23,70,100,5.23
97,Malartic,CA,2021-09-23 04:45:15,48.1335,-78.1328,44.42,79,100,11.12
98,Vestmannaeyjar,IS,2021-09-23 04:43:58,63.4427,-20.2734,42.1,61,67,1.92
99,Nome,US,2021-09-23 04:43:15,64.5011,-165.4064,39.27,48,90,8.05
100,Jumla,NP,2021-09-23 04:45:16,29.2747,82.1838,69.15,66,54,4.41
101,Faanui,PF,2021-09-23 04:43:23,-16.4833,-151.75,77.72,71,4,8.34
102,Hokitika,NZ,2021-09-23 04:45:17,-42.7167,170.9667,55.13,78,100,10.2
103,Lebu,CL,2021-09-23 04:45:18,-37.6167,-73.65,46.85,86,43,5.66
104,Clyde River,CA,2021-09-23 04:45:18,70.4692,-68.5914,29.19,88,99,12.08
105,Comarapa,BO,2021-09-23 04:45:19,-17.9,-64.4833,54.03,86,74,2.19
106,Stonewall,CA,2021-09-23 04:43:11,50.1344,-97.3268,65.88,37,6,14.81
107,Port Hardy,CA,2021-09-23 04:45:04,50.6996,-127.4199,51.8,87,75,5.75
108,Bambous Virieux,MU,2021-09-23 04:45:20,-20.3428,57.7575,73.22,73,75,11.5
109,Lastoursville,GA,2021-09-23 04:45:20,-0.8143,12.7287,70.47,98,97,1.97
